Fecha;Magnitud;Zona;Estación;Valor
2024-12-01;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-02;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-03;Precipitación;Noroeste;Casa de Campo;0,01
2024-12-04;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-05;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-06;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-07;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-08;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-09;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-10;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-11;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-12;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-13;Precipitación;Noroeste;Casa de Campo;0,03
2024-12-14;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-15;Precipitación;Noroeste;Casa de Campo;
2024-12-16;Precipitación;Noroeste;Casa de Campo;
2024-12-17;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-18;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-19;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-20;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-21;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-22;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-23;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-24;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-25;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-26;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-27;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-28;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-29;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-30;Precipitación;Noroeste;Casa de Campo;0,00
2024-12-31;Precipitación;Noroeste;Casa de Campo;0,00
